scenario,slice,metric,agent_a,agent_b,n_paired_seeds,paired_seeds,seed_set_matches_reference,mean_a,mean_b,mean_delta,ci_lower,ci_upper,ci_method,p_value,p_value_paired_t,effect_size_dz,effect_size_label,favored_agent,family,family_size,p_value_holm,p_value_bh,p_value_paired_t_holm,p_value_paired_t_bh
missing_data_bias,adversarial,near_optimal_rate,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9918333333333335,0.9944166666666666,-0.0025833333333333355,-0.00510245171134122,-6.421495532545063e-05,student_t,0.0546875,0.04532280999943998,-0.6515659234570527,medium,structural_causal,missing_data_bias::adversarial,40,0.8203125,0.08413461538461539,0.6798421499915998,0.06972739999913843
missing_data_bias,adversarial,avg_cost,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.283375,0.2806541666666667,0.00272083333333333,-0.04848720874603956,0.053928875412706224,student_t,0.986328125,0.9090116782886328,0.03375905334541791,negligible,structural_causal,missing_data_bias::adversarial,40,1.0,0.98828125,1.0,0.9568543981985609
missing_data_bias,adversarial,fairness_gap_ses,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.01518857305367662,0.016398867694755917,-0.0012102946410792951,-0.005654135580927883,0.0032335462987692926,student_t,0.55712890625,0.561019627689101,-0.1730450162565147,negligible,stability_filtered,missing_data_bias::adversarial,40,1.0,0.63671875,1.0,0.641165288787544
missing_data_bias,degradation,success_rate_drop,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,-0.0021666666666666687,0.0008333333333333156,-0.002999999999999984,-0.015588427057806184,0.009588427057806216,student_t,0.654296875,0.6103201476827769,-0.15141757212648638,negligible,stability_filtered,missing_data_bias::degradation,30,1.0,0.9088689630681818,1.0,0.8960101804584505
missing_data_bias,degradation,fairness_gap_increase,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,-0.0006899849568615203,-0.0022017907819086306,0.0015118058250471092,-0.0051378114358465055,0.008161423085940724,student_t,0.619140625,0.6266542564124754,0.14445276422299588,negligible,structural_causal,missing_data_bias::degradation,30,1.0,0.9088689630681818,1.0,0.8960101804584505
missing_data_bias,degradation,near_optimal_rate_drop,stability_filtered,structural_causal,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.005333333333333338,0.0013333333333333346,0.0040000000000000036,0.0006053502412996159,0.007394649758700391,student_t,0.03564453125,0.024982947737195806,0.7486718601230631,medium,structural_causal,missing_data_bias::degradation,30,0.60595703125,0.07638113839285714,0.4247101115323287,0.05353488800827673
missing_data_bias,overall,success_rate,stability_filtered,workflow,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.71625,0.6311111111111111,0.08513888888888888,0.05886833214283699,0.11140944563494076,student_t,0.00048828125,1.909924812356706e-05,2.0591367642380676,large,stability_filtered,missing_data_bias::overall,40,0.01953125,0.0008877840909090909,0.000411855608644625,3.819849624713412e-05
missing_data_bias,overall,near_optimal_rate,stability_filtered,workflow,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9952777777777779,0.9755277777777778,0.01974999999999999,0.01778983799334775,0.02171016200665223,student_t,0.00048828125,1.7597590223411778e-10,6.4017929549416435,large,stability_filtered,missing_data_bias::overall,40,0.01953125,0.0008877840909090909,5.455252969257651e-09,6.649772448625671e-10
missing_data_bias,overall,avg_cost,stability_filtered,workflow,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.27853888888888895,0.46299166666666663,-0.1844527777777778,-0.23868461373905533,-0.13022094181650026,student_t,0.00048828125,1.2211728578087578e-05,-2.1610130224459243,large,stability_filtered,missing_data_bias::overall,40,0.01953125,0.0008877840909090909,0.0002808697572960143,2.7137174617972396e-05
missing_data_bias,overall,fairness_gap_ses,stability_filtered,workflow,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.007705008785349241,0.018218300144678883,-0.010513291359329643,-0.015407846883098753,-0.005618735835560533,student_t,0.0009765625,0.0006217432288961102,-1.3647463209535597,large,stability_filtered,missing_data_bias::overall,40,0.01953125,0.0015625,0.008704405204545542,0.0008885024931534054
