scenario,slice,metric,agent_a,agent_b,mean_delta,effect_size_dz,effect_size_label,favored_agent
treatment_allocation_confounding,surface_shift,near_optimal_rate,structural_causal,workflow,0.09791666666666665,16.09904906648552,large,structural_causal
treatment_allocation_confounding,surface_shift,avg_cost,structural_causal,workflow,-0.22149166666666664,-2.4426773865880844,large,structural_causal
treatment_allocation_confounding,surface_shift,fairness_gap_ses,structural_causal,workflow,-0.003389473393401334,-0.358785123690811,small,structural_causal
treatment_allocation_confounding,adversarial,success_rate,structural_causal,workflow,0.15775,3.5972191292599733,large,structural_causal
treatment_allocation_confounding,adversarial,near_optimal_rate,structural_causal,workflow,0.14583333333333334,14.441797073914328,large,structural_causal
treatment_allocation_confounding,adversarial,avg_cost,structural_causal,workflow,-0.2948333333333332,-3.344344892696619,large,structural_causal
treatment_allocation_confounding,adversarial,fairness_gap_ses,structural_causal,workflow,-0.04014938738707454,-3.275284823066641,large,structural_causal
treatment_allocation_confounding,degradation,success_rate_drop,structural_causal,workflow,-0.04108333333333331,-1.7228650134750982,large,structural_causal
treatment_allocation_confounding,degradation,fairness_gap_increase,structural_causal,workflow,-0.0192628742254832,-1.0077400678632031,large,structural_causal
treatment_allocation_confounding,degradation,near_optimal_rate_drop,structural_causal,workflow,-0.0369166666666667,-3.5127365356325635,large,structural_causal
missing_data_bias,overall,success_rate,baseline,causal_light,-0.1075,-12.338477375758137,large,causal_light
missing_data_bias,overall,near_optimal_rate,baseline,causal_light,-0.047916666666666684,-8.296582221244192,large,causal_light
missing_data_bias,overall,avg_cost,baseline,causal_light,0.1537152777777778,17.854534065503174,large,causal_light
missing_data_bias,overall,fairness_gap_ses,baseline,causal_light,0.009999810507687263,1.5451382896345405,large,causal_light
missing_data_bias,normal,success_rate,baseline,causal_light,-0.08591666666666664,-6.790540751112613,large,causal_light
missing_data_bias,normal,near_optimal_rate,baseline,causal_light,-0.03250000000000003,-5.228597832508984,large,causal_light
missing_data_bias,normal,avg_cost,baseline,causal_light,0.1213541666666667,8.16968300056352,large,causal_light
missing_data_bias,normal,fairness_gap_ses,baseline,causal_light,0.0057462211825027275,0.5566711900272788,medium,causal_light
missing_data_bias,surface_shift,success_rate,baseline,causal_light,-0.09949999999999999,-5.9014058479121445,large,causal_light
missing_data_bias,surface_shift,near_optimal_rate,baseline,causal_light,-0.041416666666666706,-5.4343721592456395,large,causal_light
missing_data_bias,surface_shift,avg_cost,baseline,causal_light,0.14101666666666668,12.495768226939878,large,causal_light
