scenario,slice,metric,agent_a,agent_b,mean_a,mean_b,paired_mean_difference,ci_lower,ci_upper,p_raw,cohen_dz,n_seeds
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,structural_causal,0.06571667773088827,0.008826340589847057,0.05689033714104121,0.051141660957557865,0.06263901332452457,0.00048828125,6.287777319089278,12
treatment_allocation_confounding,normal,success_rate,baseline,structural_causal,0.6503333333333333,0.703,-0.05266666666666664,-0.07828759464149748,-0.027045738691835804,0.00244140625,-1.306073049558847,12
treatment_allocation_confounding,normal,near_optimal_rate,baseline,structural_causal,0.9474166666666665,0.9942500000000001,-0.04683333333333337,-0.05068227733855472,-0.04298438932811203,0.00048828125,-7.731076450103605,12
treatment_allocation_confounding,normal,avg_cost,baseline,structural_causal,0.4185583333333333,0.2642,0.1543583333333333,0.10087465669302803,0.20784200997363855,0.001953125,1.8337296937544951,12
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,structural_causal,0.07637281643608342,0.018206603800395637,0.058166212635687796,0.045643343306126995,0.07068908196524859,0.00048828125,2.951164574412651,12
treatment_allocation_confounding,surface_shift,success_rate,baseline,structural_causal,0.67625,0.7045833333333333,-0.028333333333333304,-0.05690806385943763,0.00024139719277101526,0.05517578125,-0.630002131586785,12
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,structural_causal,0.9688333333333333,0.9950833333333332,-0.026250000000000023,-0.030158474402712906,-0.02234152559728714,0.00048828125,-4.267254323269174,12
treatment_allocation_confounding,surface_shift,avg_cost,baseline,structural_causal,0.3836583333333332,0.27990833333333337,0.10374999999999995,0.04590014585251722,0.16159985414748268,0.0048828125,1.1394947494982055,12
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,structural_causal,0.01819440050903006,0.012886349081679826,0.005308051427350236,0.0010464542082027767,0.009569648646497696,0.0244140625,0.7913875484440666,12
treatment_allocation_confounding,adversarial,success_rate,baseline,structural_causal,0.6059166666666665,0.7139166666666666,-0.10800000000000003,-0.12807936369504289,-0.08792063630495717,0.00048828125,-3.4174352969351753,12
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,structural_causal,0.8814166666666668,0.99425,-0.11283333333333333,-0.11790062311300625,-0.1077660435536604,0.00048828125,-14.147775800739408,12
treatment_allocation_confounding,adversarial,avg_cost,baseline,structural_causal,0.4953124999999999,0.28662499999999996,0.20868749999999994,0.15315009284095402,0.2642249071590459,0.00048828125,2.387466725707458,12
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,structural_causal,0.10854271358594247,0.01421730465675002,0.09432540892919249,0.0832603083378012,0.10539050952058378,0.00048828125,5.416263962847852,12
treatment_allocation_confounding,degradation,success_rate_drop,baseline,structural_causal,0.044416666666666695,-0.010916666666666686,0.05533333333333338,0.03839182644736698,0.07227484021929978,0.00048828125,2.0752063518001393,12
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,structural_causal,0.032169897149859066,-0.003989299143645619,0.03615919629350468,0.01862679350275986,0.0536915990842495,0.00146484375,1.3103998075590968,12
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,structural_causal,0.06599999999999995,0.0,0.06599999999999995,0.05754912716388618,0.07445087283611372,0.00048828125,4.962138252093335,12
treatment_allocation_confounding,overall,success_rate,baseline,workflow,0.6441666666666667,0.5816666666666667,0.06249999999999999,0.05654141462556095,0.06845858537443904,0.00048828125,6.6644350903081016,12
treatment_allocation_confounding,overall,near_optimal_rate,baseline,workflow,0.9325555555555556,0.8769722222222222,0.05558333333333334,0.05103634771145928,0.060130318955207394,0.00048828125,7.766896150003593,12
treatment_allocation_confounding,overall,avg_cost,baseline,workflow,0.4325097222222221,0.5379777777777778,-0.10546805555555556,-0.1107722989073014,-0.10016381220380972,0.00048828125,-12.633508879147323,12
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,workflow,0.06571667773088827,0.030707268327268483,0.03500940940361979,0.03120597216613785,0.038812846641101725,0.00048828125,5.84837243720288,12
treatment_allocation_confounding,normal,success_rate,baseline,workflow,0.6503333333333333,0.5863333333333333,0.06400000000000004,0.05542411384006831,0.07257588615993177,0.00048828125,4.741627772414848,12
treatment_allocation_confounding,normal,near_optimal_rate,baseline,workflow,0.9474166666666665,0.8853333333333332,0.062083333333333275,0.05639745500311898,0.06776921166354756,0.00048828125,6.937515331391459,12
treatment_allocation_confounding,normal,avg_cost,baseline,workflow,0.4185583333333333,0.5310749999999999,-0.11251666666666667,-0.1199338527341305,-0.10509948059920284,0.00048828125,-9.638382894666705,12
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,workflow,0.07637281643608342,0.03909311696198698,0.037279699474096456,0.03021257317625504,0.044346825771937874,0.00048828125,3.351629785614293,12
treatment_allocation_confounding,surface_shift,success_rate,baseline,workflow,0.67625,0.6024999999999999,0.07375000000000005,0.06780126020824107,0.07969873979175904,0.00048828125,7.87704893486256,12
