scenario,slice,metric,agent_a,agent_b,p_raw,p_holm,p_bh,p_paired_t,p_paired_t_holm,p_paired_t_bh,correction_family,family_size
treatment_allocation_confounding,adversarial,avg_cost,baseline,structural_causal,0.00048828125,0.01953125,0.0006734913793103449,4.755302134923197e-06,7.132953202384796e-05,7.31584943834338e-06,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,structural_causal,0.00048828125,0.01953125,0.0006734913793103449,1.0592514147664243e-09,2.965903961345988e-08,3.2592351223582284e-09,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,degradation,success_rate_drop,baseline,structural_causal,0.00048828125,0.0146484375,0.0013316761363636363,1.7780613124679563e-05,0.00040895410186762995,6.667729921754836e-05,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,structural_causal,0.00146484375,0.0263671875,0.0029296875,0.0008447541789696699,0.013516066863514718,0.0016895083579393398,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,structural_causal,0.00048828125,0.0146484375,0.0013316761363636363,2.6951573871246616e-09,7.815956422661518e-08,4.0427360806869925e-08,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,overall,success_rate,baseline,workflow,0.00048828125,0.01953125,0.0007512019230769231,1.1405265480977645e-10,3.079421679863964e-09,3.2586472802793274e-10,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,near_optimal_rate,baseline,workflow,0.00048828125,0.01953125,0.0007512019230769231,2.1755664756061555e-11,6.526699426818466e-10,7.911150820386019e-11,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,avg_cost,baseline,workflow,0.00048828125,0.01953125,0.0007512019230769231,1.081828434565388e-13,3.5700338340657804e-12,5.40914217282694e-13,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,workflow,0.00048828125,0.01953125,0.0007512019230769231,4.6541769163853636e-10,1.1635442290963409e-08,1.1635442290963409e-09,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,normal,success_rate,baseline,workflow,0.00048828125,0.01953125,0.0008491847826086956,4.367346134391756e-09,1.2665303789736094e-07,1.455782044797252e-08,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,near_optimal_rate,baseline,workflow,0.00048828125,0.01953125,0.0008491847826086956,7.390996681180927e-11,2.3651189379778966e-09,3.28488741385819e-10,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,avg_cost,baseline,workflow,0.00048828125,0.01953125,0.0008491847826086956,2.0789925943752677e-12,7.276474080313437e-11,1.3859950629168452e-11,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,workflow,0.00048828125,0.01953125,0.0008491847826086956,1.6319449152525295e-07,4.243056779656577e-06,4.351853107340079e-07,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,surface_shift,success_rate,baseline,workflow,0.00048828125,0.01953125,0.0011488970588235295,1.86729426576066e-11,6.348800503586244e-10,1.0670252947203772e-10,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,workflow,0.00048828125,0.01953125,0.0011488970588235295,7.695405846631632e-11,2.5394839293884384e-09,3.847702923315816e-10,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,avg_cost,baseline,workflow,0.00048828125,0.01953125,0.0011488970588235295,4.650860999485012e-12,1.6278013498197544e-10,3.100573999656675e-11,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,workflow,0.46533203125,1.0,0.5640388257575758,0.47583924258664356,1.0,0.5767748394989619,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,adversarial,success_rate,baseline,workflow,0.00048828125,0.01953125,0.0006734913793103449,2.1966537116906562e-06,3.734311309874116e-05,3.661089519484427e-06,treatment_allocation_confounding::adversarial,40
